timestamp,pm25,suhu,kec_angin
2026-07-20T05:45:47,53.9,34.2,5.4
2026-07-20T06:53:48,51.7,32.8,11.2
2026-07-20T08:54:02,47.7,32.0,10.6
2026-07-20T11:43:18,70.5,29.9,3.2
2026-07-20T14:00:44,133.2,29.1,5.8
2026-07-20T16:08:34,163.9,28.5,2.8
2026-07-20T18:28:37,140.6,27.0,6.4
2026-07-20T20:08:16,122.5,25.7,3.7
2026-07-20T21:41:48,114.6,25.4,5.5
2026-07-20T22:58:21,75.9,25.2,5.0
2026-07-21T00:01:56,91.0,26.0,4.0
2026-07-21T03:55:22,71.9,32.0,0.9
2026-07-21T06:26:30,61.0,33.3,7.4
2026-07-21T09:09:48,75.7,31.3,11.2
2026-07-21T11:22:44,79.4,29.9,8.5
2026-07-21T12:52:27,93.6,29.0,6.9
2026-07-21T15:02:38,132.2,28.0,3.1
2026-07-21T16:54:00,136.0,26.5,3.0
2026-07-21T18:14:49,137.8,26.3,5.9
2026-07-21T19:59:38,127.1,25.4,6.9
2026-07-21T21:20:20,105.0,25.3,6.4
2026-07-21T22:26:36,77.1,25.2,4.6
2026-07-21T23:29:11,75.7,25.1,4.4
2026-07-22T00:59:02,85.7,26.8,1.2
2026-07-22T04:22:39,47.5,32.9,4.5
2026-07-22T07:09:01,47.0,33.2,8.9
2026-07-22T09:58:14,55.1,30.1,11.9
2026-07-22T11:51:50,48.5,28.8,6.5
2026-07-22T13:46:36,69.6,28.7,4.0
2026-07-22T15:39:02,96.9,27.9,7.0
2026-07-22T17:15:52,105.5,26.4,7.5
2026-07-22T18:40:28,101.7,25.9,7.3
2026-07-22T20:10:16,88.9,26.4,7.7
2026-07-22T21:41:47,81.3,26.3,6.2
2026-07-22T23:00:16,55.8,26.0,6.3
2026-07-23T00:09:37,62.4,26.3,4.9
2026-07-23T03:53:46,32.9,32.5,2.0
2026-07-23T06:28:44,34.9,34.5,8.9
2026-07-23T09:11:07,42.4,31.0,14.6
2026-07-23T11:24:09,52.3,29.2,7.4
2026-07-23T12:58:31,60.1,29.2,2.3
2026-07-23T15:15:19,103.8,26.8,7.0
2026-07-23T16:56:48,121.1,25.5,5.5
2026-07-23T18:13:46,102.9,25.2,5.6
2026-07-23T19:55:04,89.9,24.9,7.2
2026-07-23T21:01:28,73.6,24.8,5.4
2026-07-23T22:30:50,61.7,24.9,4.0
2026-07-23T23:58:17,62.9,25.2,3.5
2026-07-24T06:09:15,44.7,33.7,9.2
2026-07-24T09:03:13,51.7,32.1,11.2
2026-07-24T11:16:17,60.8,30.1,7.0
2026-07-24T12:56:00,84.3,29.9,2.5
2026-07-24T14:54:06,101.5,28.8,8.3
2026-07-24T16:40:37,97.8,26.8,10.0
2026-07-24T18:16:12,88.5,26.1,8.1
2026-07-24T19:54:11,83.1,25.7,7.1
2026-07-24T21:00:12,74.7,25.5,5.5
2026-07-24T22:13:40,73.8,25.3,5.7
2026-07-24T23:31:48,75.4,25.6,5.9
2026-07-25T02:26:54,51.8,29.9,3.6
2026-07-25T05:28:42,39.9,34.0,7.1
2026-07-25T07:34:02,33.4,32.3,16.7
2026-07-25T09:44:09,33.2,31.6,12.8
2026-07-25T11:07:24,41.0,30.4,8.8
2026-07-25T12:31:09,43.1,29.4,5.7
2026-07-25T14:36:12,45.8,28.7,7.0
2026-07-25T16:02:30,62.6,28.1,9.7
2026-07-25T17:29:49,70.5,27.0,6.5
2026-07-25T18:30:21,82.7,26.3,3.5
2026-07-25T20:09:31,110.6,25.7,6.3
2026-07-25T21:23:50,114.1,25.1,6.3
2026-07-25T22:26:11,109.9,25.0,7.0
2026-07-25T23:30:10,114.8,25.1,6.1
2026-07-26T01:09:24,103.8,27.7,4.6
2026-07-26T04:56:04,31.4,33.9,9.4
2026-07-26T07:34:38,26.4,35.7,5.2
2026-07-26T09:56:50,29.0,34.4,9.0
2026-07-26T11:20:27,48.3,30.7,13.2
2026-07-26T12:37:07,67.8,29.2,8.1
2026-07-26T14:27:27,108.7,28.1,6.9
2026-07-26T15:40:02,126.2,27.5,7.8
2026-07-26T16:57:06,124.8,26.9,6.9
2026-07-26T18:02:48,127.6,26.3,6.7
2026-07-26T19:43:15,123.4,25.7,1.5
2026-07-26T20:55:53,119.7,25.1,2.8
2026-07-26T21:58:49,117.1,24.8,2.6
2026-07-26T23:03:33,89.2,24.4,4.3
2026-07-27T01:07:40,112.7,27.1,4.2
2026-07-27T05:09:21,36.6,34.0,10.9
2026-07-27T08:54:04,33.8,33.8,14.4
2026-07-27T12:20:20,46.6,28.8,10.1
2026-07-27T15:23:19,86.8,27.5,7.6
2026-07-27T17:17:24,108.3,27.0,8.1
2026-07-27T18:55:00,108.5,26.4,9.0
2026-07-27T20:20:21,99.0,26.4,7.0
2026-07-27T21:37:54,98.5,26.0,5.3
2026-07-27T22:59:09,75.2,25.4,3.5
2026-07-28T00:07:13,93.6,25.9,2.1
2026-07-28T03:46:02,39.5,32.8,10.5
2026-07-28T06:24:37,29.8,34.8,9.8
2026-07-28T09:17:07,31.3,32.7,13.8
2026-07-28T11:35:19,42.4,29.7,12.1
2026-07-28T14:00:46,55.2,28.5,7.1
2026-07-28T16:18:05,85.9,27.7,6.1
2026-07-28T17:52:34,101.5,27.1,5.5
2026-07-28T19:19:03,107.3,26.7,5.2
2026-07-28T20:42:21,99.9,26.3,4.0
2026-07-28T22:02:44,85.7,25.9,1.6
2026-07-28T23:29:14,92.2,25.5,2.8
2026-07-29T01:01:18,96.6,28.0,1.9
2026-07-29T04:44:52,45.9,33.7,8.0
2026-07-29T07:40:49,48.7,34.1,10.7
2026-07-29T10:36:30,54.2,31.2,11.1
2026-07-29T12:58:53,114.3,29.1,6.9
